name,city,city_id,locality,cuisines,average_cost_for_two,currency,price_range_Rs,rating_text,votes,delivery,aggregate_rating
Bikanervala,Agra,34,Khandari,"North Indian, South Indian, Mithai, Street Food, Desserts",700,Rs.,2000,Very Good,814,Yes,4.4
Mama Chicken Mama Franky House,Agra,34,Agra Cantt,"North Indian, Mughlai, Rolls, Chinese, Fast Food, Street Food",600,Rs.,2000,Very Good,1203,Yes,4.4
Bhagat Halwai,Agra,34,Shahganj,"Fast Food, Mithai",300,Rs.,1000,Very Good,801,No,4.2
Bhagat Halwai,Agra,34,Civil Lines,"Desserts, Bakery, Fast Food, South Indian",300,Rs.,1000,Very Good,693,No,4.3
The Salt Cafe Kitchen & Bar,Agra,34,Tajganj,"North Indian, Continental, Italian",1000,Rs.,3000,Excellent,470,No,4.9
Domino's Pizza,Agra,34,Civil Lines,"Pizza, Fast Food",400,Rs.,2000,Very Good,707,Yes,4
Honeydew Restaurant,Agra,34,Dayal Bagh,"North Indian, Fast Food, Chinese, South Indian",500,Rs.,2000,Very Good,647,No,4.2
Domino's Pizza,Agra,34,Sikandra,"Pizza, Fast Food",400,Rs.,2000,Good,617,Yes,3.8
Cake House,Agra,34,Civil Lines,"Bakery, Fast Food",500,Rs.,2000,Average,322,No,3.4
Sugar N Thyme,Agra,34,Tajganj,"Cafe, Chinese, Continental, Italian, Bakery, Desserts",1000,Rs.,3000,Very Good,289,No,4.4
Hichkee,Agra,34,Civil Lines,"Continental, North Indian, Chinese",1200,Rs.,3000,Very Good,683,No,4.4
Bikanervala,Agra,34,Tajganj,"North Indian, South Indian, Mithai, Street Food, Desserts",700,Rs.,2000,Very Good,523,No,4.4
Pizza Hut,Agra,34,Tajganj,"Pizza, Fast Food, Italian",700,Rs.,2000,Very Good,626,Yes,4.1
Yadav Dhaba Purana,Agra,34,Civil Lines,North Indian,300,Rs.,1000,Very Good,361,No,4.1
Aahar,Agra,34,Civil Lines,"North Indian, South Indian, Chinese, Bakery, Continental",700,Rs.,2000,Very Good,474,No,4.1
Domino's Pizza,Agra,34,Kamla Nagar,"Pizza, Fast Food",400,Rs.,2000,Good,490,Yes,3.5
Pinch Of Spice,Agra,34,Civil Lines,"North Indian, Chinese, Mughlai",1600,Rs.,4000,Excellent,915,No,4.6
